Date,Cluster,DELINQUENCY,FEDFUNDS,GDP,GOLD,SP500,T10Y2Y,T10Y3M,UNEMPLOY,WTICRUDE
2019-07-04,cluster_6,0.01900318616298079,0.2971953264456218,0.019610447624170052,0.02481914412151175,0.059173683288151854,-0.5003094059406066,-1.0423138191955401,-0.0627734205651677,-0.012551843308424753
2019-07-11,cluster_6,0.019826800364662143,0.2882166460695397,0.019739094136814354,0.028814409286032364,0.06156771244220167,-0.46935443355942,-1.0505799838144054,-0.06267715503424268,-0.014465173017659348
2019-07-18,cluster_6,0.020652670013723725,0.2793568187883745,0.01986760856309713,0.03327292625465458,0.06302964974510394,-0.4437005865850681,-1.0488415135728,-0.0625805691364254,-0.020119545291504046
2019-07-25,cluster_6,0.021480804387599917,0.2702820934302027,0.019672995320144156,0.03868511169075552,0.0633849135939134,-0.42798807363237035,-1.0574912891986066,-0.05865148636894391,-0.027954534575285253
2019-08-01,cluster_6,0.022311212814676688,0.25422029964128456,0.019478581689202433,0.04280817201781701,0.0625878517425585,-0.416996047430844,-1.0807081027387544,-0.05486924256226803,-0.0392519057284855
2019-08-08,cluster_6,0.023143904674641842,0.23825705888528345,0.019284367363320214,0.05223807446403735,0.061497400584847685,-0.42145156962706,-1.1228856440653463,-0.05156264151483039,-0.051568363131194124
2019-08-15,cluster_6,0.023978889398838202,0.22245718462824712,0.01909035203617558,0.06224934244401524,0.05806355240059317,-0.4380482456140495,-1.1718911725565575,-0.048248181685130856,-0.06332746560048982
2019-08-22,cluster_6,0.024816176470619664,0.20779220779221766,0.018896535402073228,0.07156907088434107,0.05593501331670502,-0.45857863751052763,-1.2196304150257495,-0.04556292276744541,-0.07066175127643232
2019-08-29,cluster_6,0.02565577542571023,0.19327579077941848,0.018702917155944264,0.08165399331155267,0.055362857743009204,-0.48425819436459216,-1.275163347853142,-0.042871266603945135,-0.07647848932029132
2019-09-05,cluster_6,0.02574138883775485,0.17655759633689297,0.01859587859911782,0.09133571653081654,0.0563666585754003,-0.5046405421331913,-1.3224840255591044,-0.04280717749416802,-0.08409438084131837
2019-09-12,cluster_6,0.025827112708537707,0.15999180579740788,0.01848893136345713,0.10048659889325,0.0587662597354836,-0.5160439891533749,-1.3400735294117636,-0.0427429205464034,-0.0873589687195378
2019-09-19,cluster_6,0.025912947251967994,0.14357634463421787,0.018382075332144282,0.10931083500557351,0.06285704050835317,-0.5267774699907821,-1.3457713521644648,-0.042678495100479746,-0.08662894785163923
2019-09-26,cluster_6,0.03061271569625756,0.1276263702801553,0.018281840134991633,0.11551910915800256,0.06435710505292813,-0.5544164037855049,-1.3459725792630663,-0.04348552659842204,-0.08346440889020466
2019-10-03,cluster_6,0.035318559556818604,0.10641849173032078,0.018181690345341246,0.12161299271813478,0.0635487843251658,-0.5700739312118452,-1.3617786353271344,-0.04341965660096912,-0.08311220233364051
2019-10-10,cluster_6,0.04003049062185581,0.08535386631717735,0.01808162585407953,0.12572890551446594,0.061830091640980855,-0.5928805237316039,-1.3554820246825243,-0.043353611495065766,-0.08596509785785765
2019-10-17,cluster_6,0.044748520710091326,0.06443104747551653,0.01798164655227927,0.1278694671668319,0.06187104310720581,-0.6091151031270957,-1.3357767255509003,-0.04328739058152126,-0.09120099337803153
2019-10-24,cluster_6,0.04542510870574053,0.04302273182456196,0.017548503847230112,0.12966366293275672,0.06064453395544303,-0.6039770812268453,-1.301037421267135,-0.044107337968110956,-0.09191128211860158
2019-10-31,cluster_6,0.04610257359751422,0.021757572733177622,0.017115729582633344,0.13169326762819875,0.059986864679390364,-0.6211472602739896,-1.2843053982634949,-0.04492947382519575,-0.09747144250249205
2019-11-07,cluster_6,0.04678091709127839,0.0013313756719162924,0.016683323288584215,0.13273752944814796,0.06035530635049608,-0.6233113959127293,-1.2439724454649823,-0.04592338710980282,-0.09565461132735073
2019-11-14,cluster_6,0.047460140897325906,-0.01898734177214505,0.01625128449597613,0.13287320496583666,0.06083557973093069,-0.6151154653604092,-1.214889277389277,-0.046919605670707486,-0.09488278171789288
2019-11-21,cluster_6,0.04814024673039154,-0.03084463808297162,0.015819612736499542,0.1340866913653194,0.06258474773771765,-0.6093750000000177,-1.1743668381480015,-0.047725844792631436,-0.09004271722249867
2019-11-28,cluster_6,0.048821236309667046,-0.04263986963606053,0.015388307542640844,0.13087370321205682,0.06555796208723352,-0.5950323974082254,-1.1208459214501512,-0.048533958247883195,-0.08440928730845566
