Date,Price,Series
2019-06-06,2843.49,SP500
2019-06-06,1336.65,GOLD
2019-06-06,0.24,T10Y2Y
2019-06-06,-0.21,T10Y3M
2019-06-06,52.59,WTICRUDE
2019-06-06,5975,UNEMPLOY
2019-06-06,2.38,FEDFUNDS
2019-06-06,1.06,DELINQUENCY
2019-06-06,19021.86,GDP
2019-06-13,2891.64,SP500
2019-06-13,0.27,T10Y2Y
2019-06-13,1335.80,GOLD
2019-06-13,-0.09,T10Y3M
2019-06-13,52.38,WTICRUDE
2019-06-13,2.38,FEDFUNDS
2019-06-13,5975,UNEMPLOY
2019-06-13,19021.86,GDP
2019-06-13,1.06,DELINQUENCY
2019-06-20,2954.18,SP500
2019-06-20,56.88,WTICRUDE
2019-06-20,1381.65,GOLD
2019-06-20,-0.13,T10Y3M
2019-06-20,0.29,T10Y2Y
2019-06-20,5975,UNEMPLOY
2019-06-20,2.38,FEDFUNDS
2019-06-20,19021.86,GDP
2019-06-20,1.06,DELINQUENCY
2019-06-27,2924.92,SP500
2019-06-27,59.18,WTICRUDE
2019-06-27,-0.13,T10Y3M
2019-06-27,1402.25,GOLD
2019-06-27,0.27,T10Y2Y
2019-06-27,5975,UNEMPLOY
2019-06-27,2.38,FEDFUNDS
2019-06-27,19021.86,GDP
2019-06-27,1.06,DELINQUENCY
2019-07-04,1415.25,GOLD
2019-07-04,2995.82,SP500
2019-07-04,57.06,WTICRUDE
2019-07-04,0.19,T10Y2Y
2019-07-04,-0.25,T10Y3M
2019-07-04,6063,UNEMPLOY
2019-07-04,2.4,FEDFUNDS
2019-07-04,19122.06,GDP
2019-07-04,1.13,DELINQUENCY
2019-07-11,2999.91,SP500
2019-07-11,1423.10,GOLD
2019-07-11,0.28,T10Y2Y
2019-07-11,-0.04,T10Y3M
2019-07-11,59.93,WTICRUDE
2019-07-11,2.4,FEDFUNDS
2019-07-11,19122.06,GDP
2019-07-11,6063,UNEMPLOY
2019-07-11,1.13,DELINQUENCY
2019-07-18,2995.11,SP500
2019-07-18,55.08,WTICRUDE
2019-07-18,1420.90,GOLD
2019-07-18,-0.01,T10Y3M
2019-07-18,0.27,T10Y2Y
2019-07-18,19122.06,GDP
2019-07-18,1.13,DELINQUENCY
2019-07-18,2.4,FEDFUNDS
2019-07-18,6063,UNEMPLOY
2019-07-25,3003.67,SP500
2019-07-25,55.88,WTICRUDE
2019-07-25,-0.02,T10Y3M
2019-07-25,1426.35,GOLD
2019-07-25,0.22,T10Y2Y
2019-07-25,19122.06,GDP
2019-07-25,1.13,DELINQUENCY
2019-07-25,2.4,FEDFUNDS
2019-07-25,6063,UNEMPLOY
2019-08-01,2953.56,SP500
2019-08-01,1406.40,GOLD
2019-08-01,53.64,WTICRUDE
2019-08-01,-0.17,T10Y3M
2019-08-01,0.17,T10Y2Y
2019-08-01,2.13,FEDFUNDS
2019-08-01,6044,UNEMPLOY
2019-08-01,1.13,DELINQUENCY
2019-08-01,19122.06,GDP
2019-08-08,2938.09,SP500
2019-08-08,1497.40,GOLD
2019-08-08,52.6,WTICRUDE
2019-08-08,-0.3,T10Y3M
