Date,Price,Series
2019-07-04,1415.25,GOLD
2019-07-04,2995.82,SP500
2019-07-04,0.19,T10Y2Y
2019-07-04,-0.25,T10Y3M
2019-07-04,57.06,WTICRUDE
2019-07-04,6063,UNEMPLOY
2019-07-04,2.4,FEDFUNDS
2019-07-04,19021.86,GDP
2019-07-04,1.05,DELINQUENCY
2019-07-11,2999.91,SP500
2019-07-11,0.28,T10Y2Y
2019-07-11,1423.10,GOLD
2019-07-11,-0.04,T10Y3M
2019-07-11,59.93,WTICRUDE
2019-07-11,2.4,FEDFUNDS
2019-07-11,6063,UNEMPLOY
2019-07-11,19021.86,GDP
2019-07-11,1.05,DELINQUENCY
2019-07-18,2995.11,SP500
2019-07-18,0.27,T10Y2Y
2019-07-18,1420.90,GOLD
2019-07-18,-0.01,T10Y3M
2019-07-18,55.08,WTICRUDE
2019-07-18,2.4,FEDFUNDS
2019-07-18,6063,UNEMPLOY
2019-07-18,1.05,DELINQUENCY
2019-07-18,19021.86,GDP
2019-07-25,3003.67,SP500
2019-07-25,1426.35,GOLD
2019-07-25,-0.02,T10Y3M
2019-07-25,0.22,T10Y2Y
2019-07-25,55.88,WTICRUDE
2019-07-25,2.4,FEDFUNDS
2019-07-25,6063,UNEMPLOY
2019-07-25,1.05,DELINQUENCY
2019-07-25,19021.86,GDP
2019-08-01,2953.56,SP500
2019-08-01,2.13,FEDFUNDS
2019-08-01,1406.40,GOLD
2019-08-01,-0.17,T10Y3M
2019-08-01,53.64,WTICRUDE
2019-08-01,0.17,T10Y2Y
2019-08-01,6044,UNEMPLOY
2019-08-01,19021.86,GDP
2019-08-01,1.05,DELINQUENCY
2019-08-08,2938.09,SP500
2019-08-08,1497.40,GOLD
2019-08-08,-0.3,T10Y3M
2019-08-08,52.6,WTICRUDE
2019-08-08,0.1,T10Y2Y
2019-08-08,6044,UNEMPLOY
2019-08-08,2.13,FEDFUNDS
2019-08-08,1.05,DELINQUENCY
2019-08-08,19021.86,GDP
2019-08-15,2847.6,SP500
2019-08-15,1517.65,GOLD
2019-08-15,0.04,T10Y2Y
2019-08-15,-0.39,T10Y3M
2019-08-15,54.51,WTICRUDE
2019-08-15,6044,UNEMPLOY
2019-08-15,2.13,FEDFUNDS
2019-08-15,1.05,DELINQUENCY
2019-08-15,19021.86,GDP
2019-08-22,2922.95,SP500
2019-08-22,0.01,T10Y2Y
2019-08-22,55.33,WTICRUDE
2019-08-22,-0.38,T10Y3M
2019-08-22,1498.70,GOLD
2019-08-22,6044,UNEMPLOY
2019-08-22,2.13,FEDFUNDS
2019-08-22,19021.86,GDP
2019-08-22,1.05,DELINQUENCY
2019-08-29,2924.58,SP500
2019-08-29,1536.65,GOLD
2019-08-29,-0.49,T10Y3M
2019-08-29,56.67,WTICRUDE
2019-08-29,-0.03,T10Y2Y
2019-08-29,6044,UNEMPLOY
2019-08-29,2.13,FEDFUNDS
2019-08-29,1.05,DELINQUENCY
2019-08-29,19021.86,GDP
2019-09-05,2976.0,SP500
2019-09-05,0.02,T10Y2Y
2019-09-05,1542.60,GOLD
2019-09-05,56.33,WTICRUDE
2019-09-05,-0.4,T10Y3M
2019-09-05,5769,UNEMPLOY
2019-09-05,2.04,FEDFUNDS
2019-09-05,19021.86,GDP
2019-09-05,1.05,DELINQUENCY
2019-09-12,3009.57,SP500
2019-09-12,1502.95,GOLD
2019-09-12,55.13,WTICRUDE
2019-09-12,0.07,T10Y2Y
2019-09-12,-0.16,T10Y3M
2019-09-12,5769,UNEMPLOY
2019-09-12,2.04,FEDFUNDS
2019-09-12,1.05,DELINQUENCY
2019-09-12,19021.86,GDP
2019-09-19,3006.79,SP500
2019-09-19,1498.40,GOLD
2019-09-19,-0.14,T10Y3M
2019-09-19,58.19,WTICRUDE
2019-09-19,0.05,T10Y2Y
2019-09-19,2.04,FEDFUNDS
2019-09-19,5769,UNEMPLOY
2019-09-19,1.05,DELINQUENCY
2019-09-19,19021.86,GDP
2019-09-26,2977.62,SP500
2019-09-26,56.24,WTICRUDE
2019-09-26,1507.05,GOLD
2019-09-26,-0.13,T10Y3M
2019-09-26,0.04,T10Y2Y
2019-09-26,5769,UNEMPLOY
2019-09-26,2.04,FEDFUNDS
2019-09-26,19021.86,GDP
2019-09-26,1.05,DELINQUENCY
2019-10-03,2910.63,SP500
2019-10-03,1504.00,GOLD
2019-10-03,52.41,WTICRUDE
2019-10-03,-0.16,T10Y3M
2019-10-03,0.15,T10Y2Y
2019-10-03,5769,UNEMPLOY
2019-10-03,2.04,FEDFUNDS
2019-10-03,1.05,DELINQUENCY
2019-10-03,19021.86,GDP
2019-10-10,2938.13,SP500
2019-10-10,1508.20,GOLD
2019-10-10,-0.01,T10Y3M
2019-10-10,0.14,T10Y2Y
2019-10-10,52.76,WTICRUDE
2019-10-10,5769,UNEMPLOY
2019-10-10,2.04,FEDFUNDS
2019-10-10,1.05,DELINQUENCY
2019-10-10,19021.86,GDP
